circle0	388	373	400	391	366	387	376																																				
circle1	378	398	396	388	356	361	373	375	354	392	362	372	352	355	390	363	397	391	395	381	353	367	371	380	366	360	394	349	389	369	359	374	387	368	379	377	376	385	357	370	350	382	383
circle2	398	375	352	395	368																																						
circle3	349																																										
circle4	173	198	34																																								
circle5	397	381	380	389	357																																						
circle6	198	351	364	399	393	358																																					
circle7	378	350																																									
circle8	378	397	391	367	369	376																																					
circle9	362	371																																									
circle11	378	398	388	373	173	198	392	362	352	390	363	400	391	395	353	365	371	366	360	394	374	387	368	34	376	370																	
circle13	396	388	361	354	372	355	390	363	397	367	360	359	374	376	370	382																											
